,Inventory Date,12/6/24,,,,,,, ,,,,,,,,,
,,,,Manual Count Entries,,,,,,,Oracle Totals,,Variance,,,Recount needed? (*greater than $1000),1000,Reviewed?
Lbs/Case,Cs/Pallet, ,Material Description,pallets,Case,Lbs.,Total,Bun,Total Value,,Qty Total,Dollars Total,Diff Qty, Dollars Diff ,,,-1000,?
BULK,,420138,SUGAR GRANULATED - BULK,,,130123,"130,123.00",LB,"$94,430.26",,"82,059 "," $59,550.28 ",48064," $34,879.98 ",,Yes,,
BULK,,420016,DONUT FLOUR - BULK,,,58058,"58,058.00",LB,"$13,155.94",,"36,932 "," $8,368.77 ",21126," $4,787 ",,Yes,,
BULK,,420074,SOYBEAN OIL - RBD - BULK,,,51235,"51,235.00",LB,"$40,234.85",,"49,201 "," $38,637.90 ",2034," $1,597 ",,Yes,,
BULK,,420923,FRY FAT - PALM - RSPO MB,,,147172,"147,172.00",LB,"$105,963.84",,"123,310 "," $88,783.04 ",23862," $17,181 ",,Yes,,
BULK,,420136,DARK CONF COATING W/NATAMAX HYDRO SUMMER,,,34168,"34,168.00",LB,"$46,007.21",,"35,262 "," $47,479.85 ",-1094," $(1,473)",,Yes,,
BULK,,421223,DARK CONF COATING W/NATAMAX HYDRO WINTER,,,84880,"84,880.00",LB,"$114,290.92",,"84,880 "," $114,290.92 ",0, $- ,,,,
55.12 , 36 ,420019,"""SORBIC ACID - GRANULAR, KOSHER""",2,4,,"4,189.12",LB,"$16,046.42",,"4,025 "," $15,416.37 ",164, $630 ,,,,
50.00 , 50 ,420021,BAKING POWDER - DOUBLE ACTING,,30,,"1,500.00",LB,"$2,274.60",,"1,510 "," $2,289.38 ",-10, $(15),,,,
50.00 , 40 ,420026,WHEY-EXTRA GRADE-KOSHER,,,,0.00,LB,$0.00,,0 , $-   ,0, $- ,,,,
55.00 ,,420043,TITANIUM DIOXIDE 125100,,3,,165.00,LB,$567.45,,163 , $561.96 ,2, $5 ,,,,
50.00 , 50 ,420044,WHEAT STARCH #1 - MODIFIED,6,29,,"16,450.00",LB,"$19,830.48",,"15,660 "," $18,878.46 ",790, $952 ,,,,
50.00 , 50 ,420045,SUGAR GRANULATED - BAG,34,72,,"88,600.00",LB,"$68,727.02",,"86,350 "," $66,981.70 ",2250," $1,745 ",,Yes,,
50.00 , 36 ,420053,HARD FAT FLAKES - PALM 130 MELT,24,13,,"43,850.00",LB,"$40,780.50",,"42,393 "," $39,425.82 ",1457," $1,355 ",,Yes,,
45.00 , 36 ,420059,ICING STABILIZER - 172 STABILGEL PLUS,2,41,,"5,085.00",LB,"$40,373.88",,"4,905 "," $38,948.45 ",180," $1,425 ",,Yes,,
50.00 ,,420091,BUTTER VANILLA FLAV ART POWDER 0348,,,,0.00,LB,$0.00,,0 , $-   ,0, $- ,,,,
36.40 , 36 ,420096,VANILLA FLAVOR N&A 3044,1,25,,"2,220.40",LB,"$12,326.33",,"2,159 "," $11,984.74 ",62, $342 ,,,,
50.00 , 50 ,420116,SUGAR POWDERED - BAG,34,40,,"87,000.00",LB,"$48,337.20",,"87,000 "," $48,337.20 ",0,0 ,,,,
34.40 , 1 ,420363,CARAMEL FLAVOR 1812372,,3,,103.20,,$968.78,,103 , $968.78 ,0, $- ,,,,
34.60 , 1 ,420370,STRAWBERRY FLAVOR 2519847,,14,,484.40,,"$2,538.45",,484 ," $2,538.45 ",0, $- ,,,,
33.76 , 4 ,420392,PUMPKIN PIE FLAVOR N&A - 2083,,,,0.00,LB,$0.00,,0 , $3.04 ,0, $(3),,,,
44.09 , 1 ,420490,SPICE LAKE BLEND 09066,,2,,88.19,LB,"$2,578.87",,88 ," $2,576.10 ",0, $3 ,,,,
50.00 , 1 ,420545,PECAN PIE FLAVOR 892.2014U,,2.25,,112.50,LB,"$2,210.54",,113 ," $2,220.36 ",-1, $(10),,,,
22.05 , 1 ,420580,Natamax DA - 61009252,,15,,330.75,LB,"$10,774.91",,290 ," $9,458.81 ",40," $1,316 ",,Yes,,
36.06 , 36 ,420783,VANILLA FLAVOR NAT - 2723088,1,13.75,,"1,796.15",LB,"$15,370.18",,"1,484 "," $12,700.15 ",312," $2,670 ",,Yes,,
44.06 , 1 ,420903,SIENNA BROWN BLEND CSL56334,,2,,88.13,LB,"$2,726.16",,88 ," $2,726.31 ",0, $(0),,,,
50.00 , 1 ,421010,BUTTER VANILLA FLAVOR NAT 2521035,,34,,"1,700.00",,"$12,836.19",,"1,537 "," $11,608.32 ",163," $1,228 ",,Yes,,
50.00 , 50 ,421154,DONUT FLOUR - BAGGED,,,,0.00,LB,$0.00,,(723), $(205.44),723, $205 ,,,,
2000.00 , 1 ,421561,CORN STARCH - MELOJEL - TOTES,10,,,"20,000.00",LB,"$13,034.00",,"18,765 "," $12,229.01 ",1235, $805 ,,,,
31.96 , 36 ,421767,CINNAMON MM FLAVOR 2315204,1,17,,"1,693.88",LB,"$24,852.61",,"1,517 "," $22,257.80 ",177," $2,595 ",,Yes,,
2800.00 , 1 ,421850,GLYCERIN - TOTES - SOY BASED,30,,2800,"86,800.00",LB,"$54,684.00",,"90,889 "," $57,259.90 ",-4089," $(2,576)",,Yes,,BPW
50.00 , 51 ,421920,DONUT CONCENTRATE - EXTRA SORBIC,29,2,1578,"74,903.00",LB,"$172,973.50",,"66,551 "," $153,687.10 ",8352," $19,286 ",,Yes,,
44.00 , 1 ,421950,RED LAKE DISPERSION OB,,,,0.00,LB,$0.00,,0 , $-   ,0, $- ,,,,
50.00 , 27 ,422060,SD NAT SOUR CREAM TYPE # 2826083,1,19,,"2,300.00",LB,"$18,561.00",,"2,213 "," $17,861.09 ",87, $700 ,,,,
35.00 , 36 ,422062,FONA CREAMY FLAVOR NAT 840.0434U,,91,,"3,185.00",LB,"$62,365.80",,"3,199 "," $62,630.64 ",-14, $(265),,,,
50.00 , 40 ,422063,DEHYDRATED SWEET CREAM POWDER #BDF0011B,5,36,,"11,800.00",LB,"$64,385.52",,"11,726 "," $63,980.04 ",74, $405 ,,,,
50.00 , 50 ,422120,BCW OLD FASHIONED DONUT CONCENTRATE,33,56,,"85,300.00",LB,"$102,360.00",,"83,044 "," $99,653.13 ",2256," $2,707 ",,Yes,,
50.00 , 50 ,422170,MB DONUT SUGAR – NO STEROTEX,51,89,,"131,950.00",LB,"$146,583.26",,"124,238 "," $138,015.53 ",7712," $8,568 ",,Yes,,BPW
32.12 , 36 ,422380,NAT SOURDOUGH 2826454,2,30,,"3,276.24",LB,"$32,565.83",,"2,648 "," $26,317.83 ",629," $6,248 ",,Yes,,
50.00 , 48 ,422390,DRIED HONEY 70 52000,4,13,,"10,250.00",LB,"$30,135.00",,"9,448 "," $27,776.73 ",802," $2,358 ",,Yes,,
50.00 , 35 ,422522,DONUT CRUNCH 40052,73,60,,"130,750.00",,"$162,169.23",,"122,493 "," $151,928.31 ",8257," $10,241 ",,Yes,,BPW
50.00 , 45 ,420033,COCOA - 10/12 JET BLACK - BAGGED,,10,,500.00,,"$1,211.50",,513 ," $1,244.01 ",-13, $(33),,,,
,,,,,,,0.00,,$0.00,,0 , $-   ,0, $- ,,,,
,,,,,,,0.00,,$0.00,,0 , $-   ,0, $- ,,,,
,,,,,,,0.00,,$0.00,,0 , $-   ,0, $- ,,,,
,,,,,,,0.00,,$0.00,,0 , $-   ,0, $- ,,,,
,,,Totals,,,Total Qty,"1,322,107 ",,"$1,599,232",," 1,196,519 ","$1,479,371",125588," $119,861 ",,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Quantity,,Dollars,,,,,,,,,,,,,
,,," 1,196,519.12 ", Pre-Count Total ," $1,479,370.84 ",,,,,,,,,,,,,
,,," 1,322,106.95 ", Excel Total ," $1,599,232.21 ",,,,,,,,,,,,,
,,," (125,587.83)", Difference ," $(119,861.38)",,,,,,,,,,,,,
,,," 1,319,592.06 ", Post-Count Total ," $1,598,247.97 ",,,,,,,,,,,,,
,,," $(2,514.88)", S/B 0 , $(984.24),, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
